"Analysis","Scenario","Parameter","Spearman_coefficient","N","Parameter_label","Absolute_coefficient","Parameter_plot"
"Contaminated exposure events","Undercooked shrimp consumption","F_pathogenic",0.246549962200019,12810,"Pathogenic fraction",0.246549962200019,"Undercooked shrimp consumption___Pathogenic fraction"
"Contaminated exposure events","Undercooked shrimp consumption","R_under",-0.546133919652802,12810,"Cooking log reduction",0.546133919652802,"Undercooked shrimp consumption___Cooking log reduction"
"Contaminated exposure events","Undercooked shrimp consumption","fr",0.207782153655429,12810,"Resistant fraction",0.207782153655429,"Undercooked shrimp consumption___Resistant fraction"
"Contaminated exposure events","Undercooked shrimp consumption","pMIC",-0.191238577086903,12810,"Doxycycline concentration (%MIC)",0.191238577086903,"Undercooked shrimp consumption___Doxycycline concentration (%MIC)"
"Contaminated exposure events","Undercooked shrimp consumption","Emax",0.0456306627132635,12810,"Maximum killing effect (Emax)",0.0456306627132635,"Undercooked shrimp consumption___Maximum killing effect (Emax)"
"Contaminated exposure events","Undercooked shrimp consumption","EC50",0.0653147265330836,12810,"Half-maximal concentration (EC50)",0.0653147265330836,"Undercooked shrimp consumption___Half-maximal concentration (EC50)"
"Contaminated exposure events","Hand-mediated cross-contamination","C_retail",0.31531879789463,12810,"Retail concentration",0.31531879789463,"Hand-mediated cross-contamination___Retail concentration"
"Contaminated exposure events","Hand-mediated cross-contamination","M_h",0.553222071352809,12810,"Raw shrimp mass handled",0.553222071352809,"Hand-mediated cross-contamination___Raw shrimp mass handled"
"Contaminated exposure events","Hand-mediated cross-contamination","F_pathogenic",0.231014911156516,12810,"Pathogenic fraction",0.231014911156516,"Hand-mediated cross-contamination___Pathogenic fraction"
"Contaminated exposure events","Hand-mediated cross-contamination","T_shrimp_hand",0.225366031840776,12810,"Shrimp-to-hand transfer",0.225366031840776,"Hand-mediated cross-contamination___Shrimp-to-hand transfer"
"Contaminated exposure events","Hand-mediated cross-contamination","T_hand_food",0.564273914707504,12810,"Hand-to-food transfer",0.564273914707504,"Hand-mediated cross-contamination___Hand-to-food transfer"
"Contaminated exposure events","Hand-mediated cross-contamination","fr",0.195652984375191,12810,"Resistant fraction",0.195652984375191,"Hand-mediated cross-contamination___Resistant fraction"
"Contaminated exposure events","Hand-mediated cross-contamination","pMIC",-0.180923426270419,12810,"Doxycycline concentration (%MIC)",0.180923426270419,"Hand-mediated cross-contamination___Doxycycline concentration (%MIC)"
"Contaminated exposure events","Hand-mediated cross-contamination","Emax",0.0473220699035282,12810,"Maximum killing effect (Emax)",0.0473220699035282,"Hand-mediated cross-contamination___Maximum killing effect (Emax)"
"Contaminated exposure events","Hand-mediated cross-contamination","EC50",0.0601075481224357,12810,"Half-maximal concentration (EC50)",0.0601075481224357,"Hand-mediated cross-contamination___Half-maximal concentration (EC50)"
