"Scenario","pMIC","probability_zero_annual_risk","mean_consumption_days","outcome","log10_mean_annual_risk","log10_p025_positive_annual_risk","log10_p125_positive_annual_risk","log10_p25_positive_annual_risk","log10_median_positive_annual_risk","log10_p75_positive_annual_risk","log10_p875_positive_annual_risk","log10_p975_positive_annual_risk"
"Undercooked shrimp consumption",9,0.17891,13.47958,"Less likely treatable",-5.85845808079756,-8.38376663732936,-7.56270704356454,-7.07765471941118,-6.46938443070421,-5.92621341947043,-5.57761504992193,-4.99611535260068
"Undercooked shrimp consumption",9.1,0.17891,13.47958,"Less likely treatable",-5.85929822769444,-8.38554690506253,-7.56366928164134,-7.07838725492078,-6.47022203527742,-5.92685196926661,-5.57858763821622,-4.99672470190373
"Undercooked shrimp consumption",9.2,0.17891,13.47958,"Less likely treatable",-5.86010394892226,-8.38685193248676,-7.56465880850267,-7.07909186839291,-6.47110335592894,-5.92774186752468,-5.57931986576122,-4.9976931031783
"Undercooked shrimp consumption",9.3,0.17891,13.47958,"Less likely treatable",-5.86087640714641,-8.38798394343332,-7.56548422300635,-7.07975461998267,-6.4720533606598,-5.92834506287725,-5.58040470806666,-4.99839276127664
"Undercooked shrimp consumption",9.4,0.17891,13.47958,"Less likely treatable",-5.86161712340952,-8.38861874973648,-7.56615613794365,-7.08048443137703,-6.47288221787862,-5.92895153373968,-5.5811727906117,-4.99893516077126
"Undercooked shrimp consumption",9.5,0.17891,13.47958,"Less likely treatable",-5.86232754479452,-8.38902361435726,-7.56671113937077,-7.08121927388718,-6.47360837707516,-5.92951157591084,-5.58151827732384,-4.99949255456563
"Undercooked shrimp consumption",9.6,0.17891,13.47958,"Less likely treatable",-5.86300898363282,-8.38940732095966,-7.56730421148306,-7.08190262276131,-6.47440600296916,-5.93011656831611,-5.58225821186705,-5.00050584953387
"Undercooked shrimp consumption",9.7,0.17891,13.47958,"Less likely treatable",-5.86366287389947,-8.38977100786587,-7.56775996440472,-7.08249377448032,-6.47520810750273,-5.93080329995122,-5.58278346225058,-5.00095431281704
"Undercooked shrimp consumption",9.8,0.17891,13.47958,"Less likely treatable",-5.86428997346636,-8.3901157136385,-7.56796067669336,-7.08296990221122,-6.47589724377748,-5.93170867479376,-5.58348022677809,-5.00150634194615
"Undercooked shrimp consumption",9.9,0.17891,13.47958,"Less likely treatable",-5.8648914844302,-8.39061038291321,-7.5685472926659,-7.08349570800938,-6.4763587431754,-5.93216216461003,-5.58411217393587,-5.0020295913219
"Undercooked shrimp consumption",10,0.17891,13.47958,"Less likely treatable",-5.86546841417377,-8.3912099370501,-7.56919363335702,-7.08424644970603,-6.47725320053884,-5.9326718070943,-5.58469831261703,-5.00217167055166
"Hand-mediated cross-contamination",0,0.17891,13.47958,"More likely treatable",-5.83047205175889,-8.64299455092538,-7.74579872445568,-7.22756614164585,-6.58329991265369,-5.99852070676541,-5.62641219946789,-4.98087238869759
"Hand-mediated cross-contamination",0.1,0.17891,13.47958,"More likely treatable",-5.84480796187084,-8.65683976105015,-7.7609018231333,-7.24048104460339,-6.59707357387634,-6.01195337939119,-5.6404459262603,-4.99628423344739
"Hand-mediated cross-contamination",0.2,0.17891,13.47958,"More likely treatable",-5.8659359286946,-8.68131480051528,-7.7797888117082,-7.26125915838243,-6.61701592063374,-6.03233520646819,-5.65997470975315,-5.01779906670814
"Hand-mediated cross-contamination",0.3,0.17891,13.47958,"More likely treatable",-5.88660964286733,-8.70308776925942,-7.80020896998059,-7.28193243577647,-6.63689823710352,-6.05338947292328,-5.67908977177755,-5.03675157581977
"Hand-mediated cross-contamination",0.4,0.17891,13.47958,"More likely treatable",-5.90681320959031,-8.72349201239143,-7.82054268858169,-7.30281940487643,-6.65738116383655,-6.07399067704271,-5.6980977498306,-5.05508576876416
"Hand-mediated cross-contamination",0.5,0.17891,13.47958,"More likely treatable",-5.92658839439603,-8.74246759198316,-7.84000178565909,-7.32241124081665,-6.67716653222526,-6.09353547842509,-5.71760951299194,-5.07514308076202
"Hand-mediated cross-contamination",0.6,0.17891,13.47958,"More likely treatable",-5.94585904119322,-8.75966164433687,-7.85909730637781,-7.34198673329181,-6.69619301046899,-6.11199310277648,-5.73568216911071,-5.09225358084609
"Hand-mediated cross-contamination",0.7,0.17891,13.47958,"More likely treatable",-5.96471974731522,-8.7788185274308,-7.87759330368968,-7.36221664737712,-6.7145228048051,-6.13024536640016,-5.7531919631189,-5.11005008950348
"Hand-mediated cross-contamination",0.8,0.17891,13.47958,"More likely treatable",-5.98311346938055,-8.79798601748344,-7.89644058115145,-7.38112564706942,-6.73398160571619,-6.14916181358898,-5.77089976663218,-5.13149492676175
"Hand-mediated cross-contamination",0.9,0.17891,13.47958,"More likely treatable",-6.00108022262963,-8.81607995505594,-7.91399218047301,-7.39847902571388,-6.7526753964857,-6.16767181016019,-5.78842589317481,-5.1506599616589
"Hand-mediated cross-contamination",1,0.17891,13.47958,"More likely treatable",-6.01860769993694,-8.83305838750418,-7.93338319068062,-7.41551855410063,-6.77014284993589,-6.18466308294237,-5.80569925006429,-5.16893389081387
"Hand-mediated cross-contamination",1.1,0.17891,13.47958,"More likely treatable",-6.03570115994259,-8.848385953114,-7.9506007849578,-7.43372282842383,-6.78740008488601,-6.20115001977691,-5.82350569249813,-5.18655757014929
"Hand-mediated cross-contamination",1.2,0.17891,13.47958,"More likely treatable",-6.05235825964312,-8.86772936554093,-7.96740994165928,-7.45052993336813,-6.80497586920902,-6.218113976458,-5.84052791740577,-5.20362414608618
"Hand-mediated cross-contamination",1.3,0.17891,13.47958,"More likely treatable",-6.06861883925582,-8.88575005274576,-7.98377499153499,-7.46643854718013,-6.82201765219322,-6.23445224348958,-5.85663592411349,-5.21970257819768
"Hand-mediated cross-contamination",1.4,0.17891,13.47958,"More likely treatable",-6.08442626421676,-8.90354087311786,-8.00071866891996,-7.48256756133362,-6.83857120407996,-6.25022036676782,-5.87280954788705,-5.2370402613338
"Hand-mediated cross-contamination",1.5,0.17891,13.47958,"More likely treatable",-6.09985030613789,-8.92049602933744,-8.0172339614396,-7.4990420595838,-6.85429709864266,-6.26532981089303,-5.88800804210843,-5.25241141479305
"Hand-mediated cross-contamination",1.6,0.17891,13.47958,"More likely treatable",-6.11485020627577,-8.93445568131564,-8.03248899340918,-7.51433866566864,-6.86921013182712,-6.28083456551595,-5.90347465000651,-5.26783060990243
"Hand-mediated cross-contamination",1.7,0.17891,13.47958,"More likely treatable",-6.12945155017581,-8.94898812762497,-8.04734336514406,-7.52901007512618,-6.88443710398608,-6.29571799098791,-5.91826800412462,-5.28201096230134
"Hand-mediated cross-contamination",1.8,0.17891,13.47958,"More likely treatable",-6.14365609579771,-8.96434462299255,-8.06176215465333,-7.54286467415336,-6.89896217837204,-6.30989605127648,-5.93231795554569,-5.2975597091743
"Hand-mediated cross-contamination",1.9,0.17891,13.47958,"More likely treatable",-6.15746363476774,-8.97810269134112,-8.07557126166554,-7.55719031193816,-6.9126900065962,-6.3232703717095,-5.94601564157738,-5.31293976334851
"Hand-mediated cross-contamination",2,0.17891,13.47958,"More likely treatable",-6.17086204495373,-8.99169358606996,-8.08906094584538,-7.57094815675616,-6.92606277677842,-6.33698823831375,-5.95922511035419,-5.32686353436522
"Hand-mediated cross-contamination",2.1,0.17891,13.47958,"More likely treatable",-6.18386294412129,-9.00537942294764,-8.10234270502449,-7.58419459820638,-6.93937553871096,-6.35018727379732,-5.97241312261884,-5.34076612099133
"Hand-mediated cross-contamination",2.2,0.17891,13.47958,"More likely treatable",-6.19650604581244,-9.0182444500084,-8.11495668348085,-7.5973197948003,-6.95195185337257,-6.36312381800722,-5.98528734116872,-5.35456838596987
"Hand-mediated cross-contamination",2.3,0.17891,13.47958,"More likely treatable",-6.20873491158687,-9.03028011559822,-8.12728379112212,-7.60998602693532,-6.96390820961185,-6.37512427900113,-5.99749316561738,-5.36633703706304
"Hand-mediated cross-contamination",2.4,0.17891,13.47958,"More likely treatable",-6.22059922053796,-9.04208659234226,-8.13937935522608,-7.62219890389005,-6.97600546223787,-6.38689993321337,-6.00949134844921,-5.37860452146137
"Hand-mediated cross-contamination",2.5,0.17891,13.47958,"Less likely treatable",-6.23210554287291,-9.05388211338848,-8.15091425797496,-7.63365697664428,-6.98753224091509,-6.39838183957385,-6.02107010264236,-5.39016281193921
"Hand-mediated cross-contamination",2.6,0.17891,13.47958,"Less likely treatable",-6.24325523687778,-9.06501020812185,-8.1621900534301,-7.64532749313564,-6.99846248652768,-6.40950183130729,-6.0321628979694,-5.40131293902133
"Hand-mediated cross-contamination",2.7,0.17891,13.47958,"Less likely treatable",-6.25404002861644,-9.07623506084221,-8.17337467795232,-7.6566555738464,-7.00895779505128,-6.419935028694,-6.04293281620097,-5.41245248131362
"Hand-mediated cross-contamination",2.8,0.17891,13.47958,"Less likely treatable",-6.26448016771478,-9.08718693043331,-8.18325198867841,-7.66735427030873,-7.01961448266934,-6.43059942891467,-6.0537029138438,-5.4225617962768
"Hand-mediated cross-contamination",2.9,0.17891,13.47958,"Less likely treatable",-6.27457003757345,-9.09792032000498,-8.19309292360597,-7.67739144151654,-7.0295225231991,-6.44043251300915,-6.06405868697975,-5.43250772405146
"Hand-mediated cross-contamination",3,0.17891,13.47958,"Less likely treatable",-6.28433110664152,-9.10833773119543,-8.20315138480783,-7.68685831534399,-7.03938476053849,-6.45027405944571,-6.0740977043738,-5.44236650284375
"Hand-mediated cross-contamination",3.1,0.17891,13.47958,"Less likely treatable",-6.29376382426486,-9.11802679490874,-8.21236856351643,-7.69612027629387,-7.04899860369565,-6.45965488918351,-6.08349404721315,-5.45193901294394
"Hand-mediated cross-contamination",3.2,0.17891,13.47958,"Less likely treatable",-6.30288312267238,-9.12729656996089,-8.2209711951626,-7.70478517688889,-7.05772720361287,-6.4687358109388,-6.09278967342837,-5.46063557557114
"Hand-mediated cross-contamination",3.3,0.17891,13.47958,"Less likely treatable",-6.31168626678185,-9.13542297912998,-8.22974373141706,-7.71304960944474,-7.06674976253062,-6.47731620240334,-6.10189370347318,-5.46911608311225
"Hand-mediated cross-contamination",3.4,0.17891,13.47958,"Less likely treatable",-6.3201754491966,-9.14297844059115,-8.23786064243555,-7.72165003030931,-7.07502613774905,-6.48592916321087,-6.11043710838806,-5.47708245735286
"Hand-mediated cross-contamination",3.5,0.17891,13.47958,"Less likely treatable",-6.32836926107607,-9.15156648278065,-8.24641702422619,-7.72922676077197,-7.08347145486361,-6.49402471179569,-6.11880752006142,-5.48457786509325
"Hand-mediated cross-contamination",3.6,0.17891,13.47958,"Less likely treatable",-6.33627033840998,-9.15998058411862,-8.25435668695045,-7.73687969376503,-7.09092062632642,-6.50202265403672,-6.12704178132456,-5.49185251764287
"Hand-mediated cross-contamination",3.7,0.17891,13.47958,"Less likely treatable",-6.34388934154567,-9.1667813618709,-8.26211974945739,-7.74426552938211,-7.09803645301064,-6.50961294430919,-6.13502830975099,-5.4998599537917
"Hand-mediated cross-contamination",3.8,0.17891,13.47958,"Less likely treatable",-6.35124128564604,-9.17473530384697,-8.26924587527773,-7.75105605174769,-7.10512783772224,-6.51704064951493,-6.14252456899742,-5.50733402135108
"Hand-mediated cross-contamination",3.9,0.17891,13.47958,"Less likely treatable",-6.35832162842527,-9.1809969730544,-8.27562997828581,-7.75785937720754,-7.11191294151091,-6.52406224592248,-6.1500674051792,-5.51497534134219
"Hand-mediated cross-contamination",4,0.17891,13.47958,"Less likely treatable",-6.36513357472123,-9.18864858196803,-8.28107557823723,-7.76448852964541,-7.11878793994187,-6.53097716289173,-6.15677647605295,-5.52196197310882
"Hand-mediated cross-contamination",4.1,0.17891,13.47958,"Less likely treatable",-6.37169330518421,-9.19510602984909,-8.28715122864522,-7.77090381890789,-7.12505192918442,-6.53768331807188,-6.16345140000585,-5.52830872758693
"Hand-mediated cross-contamination",4.2,0.17891,13.47958,"Less likely treatable",-6.37801171136316,-9.19990489493193,-8.29255570767036,-7.77703320261656,-7.1312833717153,-6.54386662866343,-6.16978683630794,-5.53341890779038
"Hand-mediated cross-contamination",4.3,0.17891,13.47958,"Less likely treatable",-6.38409121268329,-9.2062843444386,-8.29908650359348,-7.78272991794835,-7.13691329296699,-6.5497465699922,-6.17588086657573,-5.53920166606458
"Hand-mediated cross-contamination",4.4,0.17891,13.47958,"Less likely treatable",-6.38993727088877,-9.21236220276469,-8.30530117214745,-7.78882149087499,-7.14289737505961,-6.55547528869423,-6.18181989779113,-5.54473190728057
"Hand-mediated cross-contamination",4.5,0.17891,13.47958,"Less likely treatable",-6.39555923159516,-9.21731760956077,-8.3104247350134,-7.79449687771481,-7.14843261429438,-6.56128083278239,-6.18754880177642,-5.54954088043874
"Hand-mediated cross-contamination",4.6,0.17891,13.47958,"Less likely treatable",-6.40096332861147,-9.22214976851011,-8.31535781620525,-7.80010051090223,-7.15385152340645,-6.56661184091964,-6.1928176487012,-5.55430732817109
"Hand-mediated cross-contamination",4.7,0.17891,13.47958,"Less likely treatable",-6.40615972902909,-9.22601751588823,-8.32025148642544,-7.80549427040725,-7.15894976094849,-6.57216431906187,-6.19809475432952,-5.55927024198951
"Hand-mediated cross-contamination",4.8,0.17891,13.47958,"Less likely treatable",-6.41115447711933,-9.22963447466424,-8.32517828507174,-7.81079903967769,-7.16401236678252,-6.57689941186434,-6.20319809978261,-5.56417033625238
"Hand-mediated cross-contamination",4.9,0.17891,13.47958,"Less likely treatable",-6.41595455281745,-9.23275004915854,-8.32960598965842,-7.81557689146631,-7.16908596322913,-6.58171863386204,-6.20774818886713,-5.56944774091477
"Hand-mediated cross-contamination",5,0.17891,13.47958,"Less likely treatable",-6.42056498624699,-9.23642925687495,-8.3341995712889,-7.82030182489263,-7.17344414321273,-6.58589144041989,-6.21220919794451,-5.57343127562003
"Hand-mediated cross-contamination",5.1,0.17891,13.47958,"Less likely treatable",-6.42499144525757,-9.2391990466202,-8.33809830834835,-7.82421209835157,-7.17728431707406,-6.5907041117838,-6.21672619007551,-5.57700913366777
"Hand-mediated cross-contamination",5.2,0.17891,13.47958,"Less likely treatable",-6.42924027821,-9.24399858000517,-8.3420424141258,-7.82861527974931,-7.18138521589254,-6.59498456705568,-6.22143040629148,-5.58174620420313
"Hand-mediated cross-contamination",5.3,0.17891,13.47958,"Less likely treatable",-6.4333172539704,-9.24775169897021,-8.34640980177869,-7.8328881124555,-7.18519117011508,-6.59952481303077,-6.22535637043522,-5.58492550981563
"Hand-mediated cross-contamination",5.4,0.17891,13.47958,"Less likely treatable",-6.43723116974796,-9.2509365734322,-8.35013519465849,-7.83682227141035,-7.18895266008676,-6.60356862258256,-6.22965161301841,-5.58932126846212
"Hand-mediated cross-contamination",5.5,0.17891,13.47958,"Less likely treatable",-6.44098899301738,-9.25347626208623,-8.35353385491324,-7.84036045600673,-7.19192386803344,-6.60761922855488,-6.23367078569776,-5.59364946070964
"Hand-mediated cross-contamination",5.6,0.17891,13.47958,"Less likely treatable",-6.44459898230172,-9.25645824193821,-8.35646606155238,-7.84388113672021,-7.19542294232759,-6.61137655771913,-6.2369788450333,-5.59769584424681
"Hand-mediated cross-contamination",5.7,0.17891,13.47958,"Less likely treatable",-6.44806195677764,-9.25942123131644,-8.35911117402452,-7.84753822816977,-7.19898081748734,-6.61427697629163,-6.2403359898515,-5.6009813549164
"Hand-mediated cross-contamination",5.8,0.17891,13.47958,"Less likely treatable",-6.45138303842528,-9.26198429060615,-8.36142094550088,-7.85103177365469,-7.20218404015154,-6.61789644931543,-6.24358350884165,-5.60432533811338
"Hand-mediated cross-contamination",5.9,0.17891,13.47958,"Less likely treatable",-6.45456619562103,-9.2656901754984,-8.36530889407705,-7.85421204687236,-7.20529311667432,-6.6212252382594,-6.24677105347042,-5.60668852691952
"Hand-mediated cross-contamination",6,0.17891,13.47958,"Less likely treatable",-6.457619083799,-9.26963862948578,-8.36877673390693,-7.85708297774254,-7.20804049487189,-6.62410016592931,-6.24943353332483,-5.60943621778614
"Hand-mediated cross-contamination",6.1,0.17891,13.47958,"Less likely treatable",-6.46054712536636,-9.2728296800144,-8.3720764407972,-7.85971688317677,-7.2108370698547,-6.62723984906534,-6.25186697687074,-5.61167925839582
"Hand-mediated cross-contamination",6.2,0.17891,13.47958,"Less likely treatable",-6.46335423854866,-9.27306741813944,-8.37370435017109,-7.86231456885658,-7.2137256125374,-6.6303529408117,-6.25512965081032,-5.61397153377113
"Hand-mediated cross-contamination",6.3,0.17891,13.47958,"Less likely treatable",-6.46604539014928,-9.27503726347824,-8.37693471550826,-7.86478109695659,-7.2164206228738,-6.63319989438123,-6.25809988253333,-5.61574803997585
"Hand-mediated cross-contamination",6.4,0.17891,13.47958,"Less likely treatable",-6.46862520152561,-9.27840929680255,-8.37929129837065,-7.86757029176661,-7.2191792399419,-6.63550529096281,-6.26078213529849,-5.61840595282545
"Hand-mediated cross-contamination",6.5,0.17891,13.47958,"Less likely treatable",-6.47109854262356,-9.28118784693832,-8.38170669533596,-7.86961260424495,-7.22159218382193,-6.63836234652045,-6.26354892135239,-5.62087687363235
"Hand-mediated cross-contamination",6.6,0.17891,13.47958,"Less likely treatable",-6.4734703851424,-9.28436584582991,-8.38438630805502,-7.87168429736184,-7.22408540837409,-6.6404508044016,-6.26633870309182,-5.62320297742328
"Hand-mediated cross-contamination",6.7,0.17891,13.47958,"Less likely treatable",-6.475743961459,-9.28832176808869,-8.38691096966921,-7.87431468450409,-7.22620304356024,-6.6424985498004,-6.26840498605752,-5.62507087116866
"Hand-mediated cross-contamination",6.8,0.17891,13.47958,"Less likely treatable",-6.47792326010111,-9.29002300365436,-8.38981720443098,-7.87611006708906,-7.22789263282064,-6.64473319648259,-6.2704828890071,-5.62677960553797
"Hand-mediated cross-contamination",6.9,0.17891,13.47958,"Less likely treatable",-6.48001154189659,-9.29208343005261,-8.39271939413694,-7.87869805016538,-7.2298559533457,-6.64694592184548,-6.27261705892011,-5.6284831411265
"Hand-mediated cross-contamination",7,0.17891,13.47958,"Less likely treatable",-6.48201255805975,-9.29367672153021,-8.39474806686276,-7.88084715513526,-7.2317375412429,-6.64914002723914,-6.27437994408663,-5.63100037397086
"Hand-mediated cross-contamination",7.1,0.17891,13.47958,"Less likely treatable",-6.48393053623303,-9.29649171418279,-8.39704329720797,-7.88251219900498,-7.23368416984571,-6.65109201146108,-6.27689794085967,-5.63311220832758
"Hand-mediated cross-contamination",7.2,0.17891,13.47958,"Less likely treatable",-6.48576873628258,-9.29856338130437,-8.39885357244665,-7.88416854460267,-7.23527431452426,-6.65317620668157,-6.27880756066738,-5.63463734523165
"Hand-mediated cross-contamination",7.3,0.17891,13.47958,"Less likely treatable",-6.48753075874088,-9.30068785471861,-8.40099048045271,-7.88587439324335,-7.23707520856516,-6.65474185603634,-6.28082669396298,-5.6358845782064
"Hand-mediated cross-contamination",7.4,0.17891,13.47958,"Less likely treatable",-6.48921950863944,-9.30215945884876,-8.40269907719604,-7.88745838136067,-7.23865348993413,-6.65627826546619,-6.2821840519752,-5.63697805605391
"Hand-mediated cross-contamination",7.5,0.17891,13.47958,"Less likely treatable",-6.4908377853899,-9.30403943066192,-8.40508338022161,-7.88901470465512,-7.24011519771034,-6.65807787258556,-6.28336801953726,-5.63789206372784
"Hand-mediated cross-contamination",7.6,0.17891,13.47958,"Less likely treatable",-6.49238841111326,-9.30498170351017,-8.40634687610236,-7.89055478755707,-7.2418079501448,-6.65957184744801,-6.28500020818411,-5.64029473105799
"Hand-mediated cross-contamination",7.7,0.17891,13.47958,"Less likely treatable",-6.49387446239258,-9.30585244805935,-8.40779548025391,-7.89159450424027,-7.24349818497385,-6.66094053249793,-6.2865271678615,-5.64172790603655
"Hand-mediated cross-contamination",7.8,0.17891,13.47958,"Less likely treatable",-6.49529864609275,-9.30777083934602,-8.4095904684672,-7.89255996532674,-7.24494092112708,-6.66247390042233,-6.28818758346613,-5.64362097763614
"Hand-mediated cross-contamination",7.9,0.17891,13.47958,"Less likely treatable",-6.49666355609065,-9.31060649296435,-8.41044207740282,-7.89394022272115,-7.2464002381063,-6.66364095279812,-6.28955413193202,-5.64509752410421
"Hand-mediated cross-contamination",8,0.17891,13.47958,"Less likely treatable",-6.49797182829509,-9.31378814667643,-8.41198272754764,-7.89519559487656,-7.24812023487563,-6.66483465671955,-6.29064192180787,-5.64591081514651
"Hand-mediated cross-contamination",8.1,0.17891,13.47958,"Less likely treatable",-6.49922600614658,-9.31540329674039,-8.413089043494,-7.89623488638836,-7.24950478181518,-6.66605889571104,-6.2919766088218,-5.64668571128457
"Hand-mediated cross-contamination",8.2,0.17891,13.47958,"Less likely treatable",-6.50042808610435,-9.31658262796934,-8.4139668515399,-7.897139031457,-7.25021483318073,-6.66733778045331,-6.29318516632965,-5.64778046962451
"Hand-mediated cross-contamination",8.3,0.17891,13.47958,"Less likely treatable",-6.50158089694907,-9.31716535989176,-8.41522979106931,-7.89813073496798,-7.25167033874664,-6.66843728362194,-6.29441500016892,-5.64939295873304
"Hand-mediated cross-contamination",8.4,0.17891,13.47958,"Less likely treatable",-6.50268652361818,-9.31762385142028,-8.41635492723559,-7.89876460541068,-7.25273106345495,-6.66953416453501,-6.29548607168515,-5.65142216899922
"Hand-mediated cross-contamination",8.5,0.17891,13.47958,"Less likely treatable",-6.50374644976055,-9.31818327408257,-8.4176183384214,-7.89978798790788,-7.2535694181554,-6.67038973844593,-6.29668501622992,-5.65316427630167
"Hand-mediated cross-contamination",8.6,0.17891,13.47958,"Less likely treatable",-6.50476236175807,-9.32055669497587,-8.4184983445475,-7.90056306798303,-7.25458883709958,-6.67152609592914,-6.29794763692371,-5.65464804880988
"Hand-mediated cross-contamination",8.7,0.17891,13.47958,"Less likely treatable",-6.50573642615062,-9.32165522898999,-8.41966012927117,-7.90124258159132,-7.25542684211915,-6.67257835087611,-6.29914669533459,-5.6555318518904
"Hand-mediated cross-contamination",8.8,0.17891,13.47958,"Less likely treatable",-6.50666995903074,-9.32262872774302,-8.42056274367701,-7.90198427081681,-7.25638949431014,-6.67337889317797,-6.30015604904661,-5.65680362762886
"Hand-mediated cross-contamination",8.9,0.17891,13.47958,"Less likely treatable",-6.50756451553729,-9.32364820597165,-8.421042032559,-7.90296555182775,-7.25732697651908,-6.67432392312585,-6.30105501146038,-5.65742366747517
"Hand-mediated cross-contamination",9,0.17891,13.47958,"Less likely treatable",-6.50842223455448,-9.32416601437205,-8.4215204510216,-7.90363656059968,-7.25830283480561,-6.67518197333285,-6.30202686420708,-5.65861563193208
"Hand-mediated cross-contamination",9.1,0.17891,13.47958,"Less likely treatable",-6.50924481423535,-9.3247046547675,-8.42253930189492,-7.90478749953964,-7.25948581483544,-6.67623804940431,-6.30277729393247,-5.6589905912718
"Hand-mediated cross-contamination",9.2,0.17891,13.47958,"Less likely treatable",-6.5100336787194,-9.32521515053372,-8.42321772217348,-7.905535558126,-7.26029695483136,-6.67681683572949,-6.30371080791294,-5.65932344184727
"Hand-mediated cross-contamination",9.3,0.17891,13.47958,"Less likely treatable",-6.51079001100096,-9.32573470920072,-8.42423920361692,-7.90595587849136,-7.2608383993013,-6.67769513810537,-6.30451682455008,-5.66018613898881
"Hand-mediated cross-contamination",9.4,0.17891,13.47958,"Less likely treatable",-6.51151551030873,-9.32616722193965,-8.42471690224789,-7.90664124580865,-7.2617635299587,-6.67830989275336,-6.3052548424569,-5.66064369259274
"Hand-mediated cross-contamination",9.5,0.17891,13.47958,"Less likely treatable",-6.51221144290706,-9.32660395025756,-8.42550422282858,-7.90703608957603,-7.26245917450252,-6.67883993996101,-6.306018309715,-5.66098462364875
"Hand-mediated cross-contamination",9.6,0.17891,13.47958,"Less likely treatable",-6.5128790008254,-9.3270296512426,-8.42621095150135,-7.90796791077579,-7.26341617170164,-6.67936101351563,-6.30656663096624,-5.66156901602026
"Hand-mediated cross-contamination",9.7,0.17891,13.47958,"Less likely treatable",-6.5135194364591,-9.32825679512537,-8.42774960504774,-7.90878736808589,-7.26397315436668,-6.68005565620781,-6.30735061036482,-5.66184536039245
"Hand-mediated cross-contamination",9.8,0.17891,13.47958,"Less likely treatable",-6.51413372508329,-9.32832836329298,-8.42859445210152,-7.90936533685476,-7.26495454459676,-6.68067114084881,-6.30795265214453,-5.66224864318453
"Hand-mediated cross-contamination",9.9,0.17891,13.47958,"Less likely treatable",-6.51472325146443,-9.32839511611601,-8.42923125026148,-7.9099494634518,-7.2657992482301,-6.68134846394072,-6.30845174887172,-5.66288068041054
"Hand-mediated cross-contamination",10,0.17891,13.47958,"Less likely treatable",-6.51528890132163,-9.32853348117533,-8.4294095232893,-7.91029863222875,-7.26642333943122,-6.68192143744342,-6.30908116883087,-5.66347942727917
