"Bootstrap_run","Emax_per_day","EC50_ug_mL"
1,79.6651514990287,0.232826241179001
2,60.7856279840653,0.0737311785400633
3,60.2504286084053,0.13393729340298
4,76.8007630310323,0.164224314159654
5,74.4914286212375,0.205322028532218
6,76.6392853296394,0.162392242949722
7,72.605046613658,0.10744390683295
8,71.5630026898021,0.135398508423864
9,74.288953343215,0.197303313281156
10,68.8985225272787,0.166829627867817
11,66.4430870529878,0.126620717100772
12,68.9772027278362,0.133432252523073
13,61.6173297941881,0.146151871468351
14,75.3374812230162,0.15401799784259
15,70.7746403651533,0.162943747717235
16,59.8013963533379,0.0647078421667498
17,67.9112969854674,0.107310938971972
18,78.8612149669687,0.20746531995787
19,77.0068333474058,0.253590138027893
20,75.7802588876646,0.180932031873731
21,66.0482488709677,0.163322532133377
22,65.194123235284,0.102571906487736
23,62.9157754951382,0.15994094421142
24,81.0364604616585,0.277576123256102
25,72.1022301724172,0.182181431495361
26,84.6407932117677,0.299016217339391
27,68.2458145224565,0.0881050190290307
28,63.8009746511259,0.142402931005926
29,67.0994180869717,0.150065044845985
30,76.5799867722804,0.13050003387298
31,81.946452381513,0.245139150048896
32,55.6071708427966,0.11460737265299
33,71.4588636685765,0.193436804103252
34,76.6541613872993,0.263465838943402
35,75.9503277460484,0.194164161952221
36,74.1443528300195,0.133649995344679
37,83.3510331286801,0.332287255415039
38,63.232750082063,0.150035928391733
39,84.5162249273836,0.258582580433884
40,90.330588794635,0.190803571752317
41,64.3779447817614,0.142252990839025
42,63.014816721918,0.145587104354217
43,66.9961902367518,0.169746345372987
44,64.8550357521172,0.0866061719248013
45,77.5115416500616,0.220490668625767
46,76.8752609575064,0.216502111090514
47,67.3018211132859,0.145275104133653
48,65.7953900589927,0.116068511522102
49,75.2008789016395,0.201653448513513
50,69.1742324254255,0.124296973160845
51,67.866137283771,0.142324128817813
52,80.7910053451923,0.196485610779271
53,69.6132299209764,0.190879631721128
54,90.6585869890303,0.235125435073709
55,73.7076174486641,0.106167268756001
56,89.1671238864079,0.271634527465847
57,70.384053353746,0.150486510418883
58,88.8251708623878,0.284228280848069
59,64.4080603199266,0.111462889580121
60,75.5207754714174,0.148248432651534
61,67.2632483285009,0.104988516451066
62,60.1882916980419,0.142257698476749
63,64.1060720501794,0.111654163158352
64,64.2655017985291,0.119059914989026
65,73.3109204026988,0.150656167940293
66,64.7433193272753,0.188621066511416
67,83.4998758531063,0.30680654904491
68,81.910072519608,0.220742714319167
69,58.3739338367063,0.168518074859369
70,84.6090765331944,0.188749194414629
71,76.0430081224591,0.240895526345491
72,83.6523481380719,0.304514944517641
73,62.6081485336665,0.121905343667152
74,81.9968121943523,0.206240030006801
75,78.751855956036,0.23740507804106
76,67.2316291643841,0.144184203653168
77,74.7849720731677,0.246099681763686
78,67.3993026566239,0.087788084332997
79,71.1457754574129,0.139373458848095
80,61.7180616459604,0.065389091463376
81,63.5779862024487,0.0651812664708137
82,78.9440510013689,0.257869418852525
83,61.9779324411302,0.126109417531068
84,84.8865537824848,0.237290912685545
85,67.4989219211082,0.177177336914431
86,57.8406388474447,0.101757050442869
87,72.2690744066628,0.145869657527354
88,65.1582804512989,0.135782623034474
89,59.3474893468464,0.166661879513716
90,69.6890844828963,0.160287948237576
91,76.6858015242757,0.196901989471148
92,70.8368263044318,0.115470163270502
93,83.2896414093933,0.198876155839348
94,68.9285660588799,0.162697836400636
95,71.4340508740428,0.151530329025645
96,70.9430020938964,0.212635394376251
97,70.8457582099701,0.160508051906696
98,68.4671974169598,0.230221067569861
99,79.5117179052557,0.182681354954921
100,54.9655781595306,0.0991212609443302
101,65.3371155450574,0.145145691439438
102,71.3792935225446,0.185216218560334
103,68.8340535724583,0.236558913000682
104,73.8435294022693,0.143397164245443
105,75.3081377476666,0.156386479090455
106,65.6064499598088,0.158661861025172
107,75.5032897874377,0.259819873391309
108,74.9617131563069,0.167166288690441
109,73.0936785933718,0.144015518315505
110,65.5948729209548,0.114005096276186
111,58.6038218162315,0.117602538492269
112,65.5757085170492,0.115195315873856
113,72.9341049082665,0.224390809395668
114,68.7342999405534,0.140760299138718
115,67.2412379736314,0.136601121278023
116,67.3720794826748,0.103918593024423
117,68.6363501702568,0.113123713109533
118,75.7973295646907,0.287217648540133
119,69.9133477079282,0.185353886640767
120,63.674987381234,0.115587951261488
121,66.5967145232423,0.156347560237293
122,76.3536539044979,0.247674171770375
123,67.8598387189317,0.111467818233539
124,73.8002775062711,0.122842698618307
125,71.7284595226683,0.183183124279954
126,73.2979067394884,0.168356081465836
127,71.3292540013247,0.167550835311699
128,76.7477162359983,0.237692276107735
129,73.7319055776943,0.140000503992251
130,69.5403988115838,0.122130087971006
131,77.831991768263,0.209663598867364
132,67.6971866165659,0.197978549233367
133,70.936202183752,0.173228720928437
134,70.4443002444084,0.164979902158855
135,58.3858222730135,0.135836324642842
136,82.4003235208085,0.172536222014778
137,75.1807097046646,0.175376277266031
138,75.2857770229645,0.167132592895764
139,84.0528966602684,0.268545573126098
140,70.1634754023013,0.144126663164371
141,56.5475375004706,0.123188174182648
142,69.5251361301094,0.122381591104783
143,81.7380117980946,0.18779459438037
144,77.3696144350593,0.199277849405113
145,89.811645771833,0.283720371763745
146,80.0838915529217,0.193567598125855
147,63.6610856224506,0.0911600638112556
148,72.9287877297136,0.196542276110229
149,64.3406304159974,0.075568666946948
150,81.8356169158687,0.285278935394503
151,58.987623228937,0.111110324533014
152,66.9387867053324,0.146946482244797
153,73.2516429833521,0.219216337652255
154,72.2324664467764,0.20390069693814
155,65.4414647324342,0.162113822614804
156,79.540501683434,0.285981117457969
157,74.6821191061713,0.184218502392813
158,65.7363769699575,0.200031445926067
159,66.0701071049491,0.11949247999581
160,77.1665941182441,0.149123925058841
161,74.4752825715145,0.204570303098747
162,79.3315135052049,0.226580462273042
163,68.6071997222882,0.128504235457939
164,67.8880331607464,0.135472928724568
165,70.8194210864039,0.127886060063061
166,67.9031964029404,0.165070635604624
167,62.783053218754,0.0824101221416797
168,57.3648374410355,0.100949872883523
169,76.6699452292625,0.125135172672004
170,81.7723107606565,0.25571800226371
171,77.2110657179596,0.115848724260359
172,83.3214598138015,0.261079393421932
173,67.2448289836302,0.103752516325368
174,71.9090290542798,0.172494471743145
175,76.6220685797366,0.123818850966236
176,75.6059019435335,0.176141654934168
177,65.3277764159426,0.166522553008934
178,84.0869034388993,0.292674717103716
179,69.7632537716116,0.169934577783527
180,61.0388997235753,0.125381658324541
181,83.2488808728313,0.229952542229384
182,68.3583753130737,0.142415688178801
183,61.2865548459736,0.17150194445176
184,61.984877439077,0.0567244382886078
185,66.3392225930301,0.0817542431454685
186,78.3732896253519,0.168543599649919
187,74.136396460748,0.182926080989237
188,81.5960282948659,0.16748773370502
189,63.4901211449733,0.116336031512981
190,81.3846713624137,0.22152170812942
191,65.6784450448266,0.131156291787778
192,87.2563457483932,0.232497325073935
193,70.4339760508916,0.130075129685179
194,75.6300980246552,0.282315025334579
195,83.7960448081097,0.154282127070887
196,65.6288916351731,0.103570386044093
197,58.7366136185143,0.136839100994387
198,76.9568865461078,0.169624984129405
199,81.6280103888509,0.254564976597813
200,74.786450639079,0.114127383916758
201,80.4572686923528,0.305380341766074
202,86.0336138590891,0.416422260530999
203,74.2821058297981,0.117821843162736
204,67.6196255054414,0.104666490632339
205,68.3509122414812,0.238916656887937
206,81.6947644251976,0.244029936112
207,74.1707772570314,0.168702746025036
208,77.5353170611317,0.119159847605241
209,76.0974906061531,0.216070128781202
210,67.4294144714575,0.196007774769112
211,65.583913067423,0.11133463487607
212,67.0934601140088,0.109866149926944
213,85.4159312075141,0.230353236284823
214,72.572171769473,0.127535965056534
215,76.0494427960891,0.127210254088059
216,75.832563589123,0.202267386756416
217,84.8086579551767,0.297695820233674
218,70.778634388965,0.20854877109887
219,73.5492593368352,0.166210479221016
220,61.045111472794,0.0753500640239847
221,78.1674177514975,0.131467820999809
222,72.0381674834471,0.178365503857235
223,74.5334138555747,0.176629120251779
224,82.6329051840991,0.274435355531235
225,80.8951910529209,0.299026846004952
226,63.9623341819166,0.106062970035163
